station_id,date,pollutant,value
3,2023-02-03,CO_8h,
3,2023-02-03,NO2,
4,2023-02-03,C6H6,1.8
4,2023-02-03,CO_8h,1.6
4,2023-02-03,NO2,97.0
4,2023-02-03,PM10,27.0
4,2023-02-03,PM25,16.0
5,2023-02-03,NO2,
5,2023-02-03,O3,
6,2023-02-03,C6H6,1.4
6,2023-02-03,CO_8h,1.0
6,2023-02-03,NO2,98.0
6,2023-02-03,PM10,37.0
6,2023-02-03,PM25,21.0
7,2023-02-03,NO2,88.0
7,2023-02-03,O3,56.0
7,2023-02-03,PM10,26.0
8,2023-02-03,C6H6,
8,2023-02-03,CO_8h,
8,2023-02-03,NO2,
1,2023-02-02,NO2,
2,2023-02-02,C6H6,2.3
2,2023-02-02,NO2,81.0
2,2023-02-02,O3,63.0
2,2023-02-02,PM10,39.0
2,2023-02-02,PM25,23.0
2,2023-02-02,SO2,6.0
3,2023-02-02,CO_8h,
3,2023-02-02,NO2,
4,2023-02-02,C6H6,2.6
4,2023-02-02,CO_8h,2.2
4,2023-02-02,NO2,120.0
4,2023-02-02,PM10,48.0
4,2023-02-02,PM25,33.0
5,2023-02-02,NO2,
5,2023-02-02,O3,
6,2023-02-02,C6H6,1.6
6,2023-02-02,CO_8h,1.3
6,2023-02-02,NO2,104.0
6,2023-02-02,PM10,45.0
6,2023-02-02,PM25,29.0
7,2023-02-02,NO2,86.0
7,2023-02-02,O3,59.0
7,2023-02-02,PM10,31.0
8,2023-02-02,C6H6,
8,2023-02-02,CO_8h,
8,2023-02-02,NO2,
1,2023-02-01,NO2,
2,2023-02-01,C6H6,3.1
2,2023-02-01,NO2,81.0
2,2023-02-01,O3,34.0
2,2023-02-01,PM10,71.0
2,2023-02-01,PM25,50.0
2,2023-02-01,SO2,5.0
3,2023-02-01,CO_8h,
3,2023-02-01,NO2,
4,2023-02-01,C6H6,3.2
4,2023-02-01,CO_8h,2.0
4,2023-02-01,NO2,102.0
4,2023-02-01,PM10,69.0
4,2023-02-01,PM25,55.0
5,2023-02-01,NO2,
5,2023-02-01,O3,
6,2023-02-01,C6H6,2.2
6,2023-02-01,CO_8h,1.3
6,2023-02-01,NO2,102.0
6,2023-02-01,PM10,80.0
6,2023-02-01,PM25,60.0
7,2023-02-01,NO2,88.0
7,2023-02-01,O3,32.0
7,2023-02-01,PM10,60.0
8,2023-02-01,C6H6,
8,2023-02-01,CO_8h,
8,2023-02-01,NO2,
1,2023-01-31,NO2,
2,2023-01-31,C6H6,2.8
2,2023-01-31,NO2,91.0
2,2023-01-31,O3,55.0
2,2023-01-31,PM10,49.0
2,2023-01-31,PM25,34.0
2,2023-01-31,SO2,6.0
3,2023-01-31,CO_8h,
3,2023-01-31,NO2,83.0
4,2023-01-31,C6H6,2.9
4,2023-01-31,CO_8h,2.1
4,2023-01-31,NO2,93.0
4,2023-01-31,PM10,54.0
4,2023-01-31,PM25,41.0
5,2023-01-31,NO2,
5,2023-01-31,O3,
6,2023-01-31,C6H6,2.0
6,2023-01-31,CO_8h,1.2
6,2023-01-31,NO2,92.0
6,2023-01-31,PM10,55.0
6,2023-01-31,PM25,40.0
7,2023-01-31,NO2,76.0
7,2023-01-31,O3,53.0
7,2023-01-31,PM10,37.0
8,2023-01-31,C6H6,
8,2023-01-31,CO_8h,
8,2023-01-31,NO2,
1,2023-01-30,NO2,
2,2023-01-30,C6H6,2.4
2,2023-01-30,NO2,57.0
2,2023-01-30,O3,50.0
2,2023-01-30,PM10,40.0
2,2023-01-30,PM25,31.0
2,2023-01-30,SO2,6.0
3,2023-01-30,CO_8h,
3,2023-01-30,NO2,
4,2023-01-30,C6H6,2.5
4,2023-01-30,CO_8h,1.8
4,2023-01-30,NO2,83.0
4,2023-01-30,PM10,41.0
4,2023-01-30,PM25,35.0
5,2023-01-30,NO2,
5,2023-01-30,O3,
6,2023-01-30,C6H6,1.8
6,2023-01-30,CO_8h,1.1
6,2023-01-30,NO2,82.0
6,2023-01-30,PM10,44.0
6,2023-01-30,PM25,34.0
7,2023-01-30,NO2,71.0
7,2023-01-30,O3,52.0
7,2023-01-30,PM10,33.0
8,2023-01-30,C6H6,
8,2023-01-30,CO_8h,
8,2023-01-30,NO2,
1,2023-01-27,NO2,
2,2023-01-27,C6H6,2.6
2,2023-01-27,NO2,70.0
2,2023-01-27,O3,40.0
2,2023-01-27,PM10,35.0
2,2023-01-27,PM25,25.0
2,2023-01-27,SO2,2.5
3,2023-01-27,CO_8h,
3,2023-01-27,NO2,
4,2023-01-27,C6H6,3.2
4,2023-01-27,CO_8h,2.1
4,2023-01-27,NO2,87.0
4,2023-01-27,PM10,44.0
4,2023-01-27,PM25,32.0
5,2023-01-27,NO2,
5,2023-01-27,O3,
6,2023-01-27,C6H6,1.7
6,2023-01-27,CO_8h,1.0
6,2023-01-27,NO2,73.0
6,2023-01-27,PM10,
6,2023-01-27,PM25,
7,2023-01-27,NO2,70.0
7,2023-01-27,O3,35.0
7,2023-01-27,PM10,28.0
8,2023-01-27,C6H6,
8,2023-01-27,CO_8h,
8,2023-01-27,NO2,
1,2023-01-26,NO2,
2,2023-01-26,C6H6,2.9
2,2023-01-26,NO2,62.0
2,2023-01-26,O3,42.0
2,2023-01-26,PM10,33.0
2,2023-01-26,PM25,23.0
2,2023-01-26,SO2,2.5
3,2023-01-26,CO_8h,
3,2023-01-26,NO2,
4,2023-01-26,C6H6,2.9
4,2023-01-26,CO_8h,1.9
4,2023-01-26,NO2,96.0
4,2023-01-26,PM10,40.0
